function,reqID,start,finish,mergingPoint,host,duration
A,1,,,,s,90
A,2,,,,s,90
A,3,,,,s,90
A,4,,,,s,90
A,5,,,,s,90
A,6,,,,s,90
A,7,,,,s,90
A,8,,,,s,90
A,9,,,,s,90
A,10,,,,s,90
A,11,,,,s,90
A,12,,,,s,90
A,13,,,,s,90
A,14,,,,s,90
A,15,,,,s,90
A,16,,,,s,90
A,17,,,,s,90
A,18,,,,s,90
A,19,,,,s,90
A,20,,,,s,90
B,1,,,,s,90
B,2,,,,s,90
B,3,,,,s,90
B,4,,,,s,90
B,5,,,,s,90
B,6,,,,s,90
B,7,,,,s,90
B,8,,,,s,90
B,9,,,,s,90
B,10,,,,s,90
B,11,,,,s,90
B,12,,,,s,90
B,13,,,,s,90
B,14,,,,s,90
B,15,,,,s,90
B,16,,,,s,90
B,17,,,,s,90
B,18,,,,s,90
B,19,,,,s,90
B,20,,,,s,90
C,1,,,,s,90
C,2,,,,s,90
C,3,,,,s,90
C,4,,,,s,90
C,5,,,,s,90
C,6,,,,s,90
C,7,,,,s,90
C,8,,,,s,90
C,9,,,,s,90
C,10,,,,s,90
C,11,,,,s,90
C,12,,,,s,90
C,13,,,,s,90
C,14,,,,s,90
C,15,,,,s,90
C,16,,,,s,90
C,17,,,,s,90
C,18,,,,s,90
C,19,,,,s,90
C,20,,,,s,90
D,1,,,,s,90
D,2,,,,s,90
D,3,,,,s,90
D,4,,,,s,90
D,5,,,,s,90
D,6,,,,s,90
D,7,,,,s,90
D,8,,,,s,90
D,9,,,,s,90
D,10,,,,s,90
D,11,,,,s,90
D,12,,,,s,90
D,13,,,,s,90
D,14,,,,s,90
D,15,,,,s,90
D,16,,,,s,90
D,17,,,,s,90
D,18,,,,s,90
D,19,,,,s,90
D,20,,,,s,90
A,21,,,,vm0,190
A,22,,,,vm0,190
A,23,,,,vm0,190
A,24,,,,vm0,190
A,25,,,,vm0,190
A,26,,,,vm0,190
A,27,,,,vm0,190
A,28,,,,vm0,190
A,29,,,,vm0,190
A,30,,,,vm0,190
A,31,,,,vm0,190
A,32,,,,vm0,190
A,33,,,,vm0,190
A,34,,,,vm0,190
A,35,,,,vm0,190
A,36,,,,vm0,190
A,37,,,,vm0,190
A,38,,,,vm0,190
A,39,,,,vm0,190
A,40,,,,vm0,190
B,21,,,,vm0,190
B,22,,,,vm0,190
B,23,,,,vm0,190
B,24,,,,vm0,190
B,25,,,,vm0,190
B,26,,,,vm0,190
B,27,,,,vm0,190
B,28,,,,vm0,190
B,29,,,,vm0,190
B,30,,,,vm0,190
B,31,,,,vm0,190
B,32,,,,vm0,190
B,33,,,,vm0,190
B,34,,,,vm0,190
B,35,,,,vm0,190
B,36,,,,vm0,190
B,37,,,,vm0,190
B,38,,,,vm0,190
B,39,,,,vm0,190
B,40,,,,vm0,190
C,21,,,,vm0,190
C,22,,,,vm0,190
C,23,,,,vm0,190
C,24,,,,vm0,190
C,25,,,,vm0,190
C,26,,,,vm0,190
C,27,,,,vm0,190
C,28,,,,vm0,190
C,29,,,,vm0,190
C,30,,,,vm0,190
C,31,,,,vm0,190
C,32,,,,vm0,190
C,33,,,,vm0,190
C,34,,,,vm0,190
C,35,,,,vm0,190
C,36,,,,vm0,190
C,37,,,,vm0,190
C,38,,,,vm0,190
C,39,,,,vm0,190
C,40,,,,vm0,190
D,21,,,,vm0,190
D,22,,,,vm0,190
D,23,,,,vm0,190
D,24,,,,vm0,190
D,25,,,,vm0,190
D,26,,,,vm0,190
D,27,,,,vm0,190
D,28,,,,vm0,190
D,29,,,,vm0,190
D,30,,,,vm0,190
D,31,,,,vm0,190
D,32,,,,vm0,190
D,33,,,,vm0,190
D,34,,,,vm0,190
D,35,,,,vm0,190
D,36,,,,vm0,190
D,37,,,,vm0,190
D,38,,,,vm0,190
D,39,,,,vm0,190
D,40,,,,vm0,190
