function,reqID,start,finish,mergingPoint,host,duration
A,1,2022-06-08 06:00:54.011,2022-06-08 06:00:55.011,,s,90
A,2,2022-06-08 06:00:54.011,2022-06-08 06:00:55.011,,s,90
B,1,2022-06-08 06:00:55.061,2022-06-08 06:00:58.011,,s,90
B,2,2022-06-08 06:00:55.061,2022-06-08 06:00:58.011,,s,90
C,1,2022-06-08 06:00:58.061,2022-06-08 06:00:59.011,,s,90
C,2,2022-06-08 06:00:58.061,2022-06-08 06:00:59.011,,vm0,190
D,1,2022-06-08 06:00:59.061,2022-06-08 06:03:59.011,C,s,90
D,2,2022-06-08 06:00:59.061,2022-06-08 06:03:59.011,C,s,90
A,3,2022-06-08 06:00:54.011,2022-06-08 06:00:55.011,,s,90
A,4,2022-06-08 06:00:54.011,2022-06-08 06:00:55.011,,vm0,190
B,3,2022-06-08 06:00:55.061,2022-06-08 06:00:58.011,,vm0,190
B,4,2022-06-08 06:00:55.061,2022-06-08 06:01:01.011,,s,90
C,3,2022-06-08 06:00:58.061,2022-06-08 06:00:59.011,,vm0,190
C,4,2022-06-08 06:01:01.061,2022-06-08 06:01:01.311,,vm1,190
D,3,2022-06-08 06:00:59.061,2022-06-08 06:03:59.011,C,vm0,190
D,4,2022-06-08 06:01:01.411,2022-06-08 06:01:01.511,C,vm0,190
A,5,2022-06-08 06:00:54.011,2022-06-08 06:00:55.011,,s,90
A,6,2022-06-08 06:00:54.011,2022-06-08 06:00:55.011,,vm1,190
B,2022-06-08 06:00:56.025,2022-06-08 06:00:58.0111,,vm1,190
B,6,2022-06-08 06:00:59.011,2022-06-08 06:01:01.011,,vm1,190
C,5,2022-06-08 06:00:58.061,2022-06-08 06:00:59.011,,vm1,190
C,6,2022-06-08 06:01:01.111,2022-06-08 06:01:01.311,,s,90
C,7,2022-06-08 06:01:01.111,2022-06-08 06:01:01.311,,s,90
D,5,2022-06-08 06:00:59.061,2022-06-08 06:03:59.011,C,vm1,190
D,6,2022-06-08 06:01:01.361,2022-06-08 06:01:01.511,C,vm1,190
D,7,2022-06-08 06:01:01.361,2022-06-08 06:01:01.511,,vm0,190
B,7,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm0,190
B,6,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm1,190
B,8,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm0,190
B,9,2022-06-08 06:00:55.061,2022-06-08 06:01:01.061,,vm1,190
C,8,2022-06-08 06:01:01.111,2022-06-08 06:01:01.311,,vm1,190
C,9,2022-06-08 06:01:01.111,2022-06-08 06:01:01.311,,vm0,190
D,8,2022-06-08 06:01:01.361,2022-06-08 06:01:01.311,C,vm0,190
